city,precinct,zip,race,party,sex,age,turf,voted01,voted00,voted99,family,famsize,represen,reached,other,goaway,nothome,bad,cant,nothing,contact,treatmen,primary
"Bridgeport","Colombus School",,"","I","F",36,4,"Abstained","Abstained",,4645,3,"Listed","No",0,"No","No","Yes",,,"No","Treatment","Abstained"
"ST PAUL","ST PAUL  W-4 P- 7",,"","","",61,1117,"Abstained","Abstained","Abstained",27467,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Bridgeport","Luis Munoz Marin S",,"","D","M",21,41,"Abstained","Abstained",,24773,3,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"Raleigh","07-04",,"W","I","M",35,20,"Abstained","Voted","Abstained",55949,2,"Listed","No",0,,,"No",,,"No","Control",
"Bridgeport","Beardsley School",,"","D","F",88,28,"Abstained","Voted",,16337,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"COLUMBUS","6A",,"","I","",89,412,"Abstained","Abstained","Abstained",6151,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-28",,"B","R","M",33,8,"Voted","Abstained","Abstained",24857,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","M",63,1371,"Abstained","Abstained","Abstained",19115,3,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Abstained"
"Raleigh","07-04",,"W","R","F",54,20,"Voted","Voted","Voted",55607,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","6B",,"","I","",89,402,"Abstained","Abstained","Abstained",5415,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-04",,"W","R","M",60,20,"Abstained","Voted","Abstained",55492,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"COLUMBUS","3F",,"","D","",89,17,"Abstained","Voted","Voted",23886,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Voted"
"Raleigh","07-04",,"W","R","M",31,18,"Abstained","Voted","Abstained",57373,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","6A",,"","I","",89,412,"Abstained","Abstained","Abstained",19793,1,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Abstained"
"DETROIT","",,"","","F",44,1201,"Abstained","Abstained","Abstained",24747,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","07-01",,"W","R","M",68,14,"Voted","Voted","Voted",53639,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"DETROIT","",,"","","F",77,1222,"Voted","Voted","Abstained",25188,4,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","F",36,743,"Abstained","Abstained","Abstained",11209,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",46,137,"Abstained","Abstained","Abstained",2935,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","M",40,1201,"Voted","Voted","Abstained",24988,4,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",28,105,"Abstained","Abstained","Abstained",1183,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"ST PAUL","ST PAUL  W-4 P- 7",,"","","",37,1117,"Abstained","Voted","Abstained",9112,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment","Abstained"
"Raleigh","01-43",,"W","D","M",70,10,"Voted","Voted","Voted",42469,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"COLUMBUS","7A",,"","","",89,706,"Abstained","Voted","Abstained",21270,1,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment","Abstained"
"ST PAUL","ST PAUL  W-4 P- 9",,"","","",49,1110,"Voted","Voted","Voted",7928,4,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-43",,"W","I","F",56,10,"Abstained","Voted","Abstained",42800,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P-10",,"","","",45,113,"Abstained","Abstained","Abstained",4990,1,"Listed","No",0,"No","No","Yes","No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P-10",,"","","",56,111,"Abstained","Abstained","Abstained",5237,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",25,726,"Voted","Voted","Abstained",13295,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",52,745,"Abstained","Abstained","Abstained",10947,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"ST PAUL","ST PAUL  W-4 P- 7",,"","","",59,1115,"Voted","Voted","Voted",11251,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",24,731,"Abstained","Voted","Abstained",13080,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","01-44",,"W","R","F",53,12,"Abstained","Voted","Voted",43419,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","M",30,1315,"Abstained","Abstained","Abstained",19995,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","07-09",,"O","D","F",22,24,"Abstained","Abstained","Abstained",62609,3,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","M",65,705,"Voted","Voted","Abstained",12093,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"Raleigh","01-43",,"W","R","M",37,10,"Abstained","Abstained","Abstained",42969,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"DETROIT","",,"","","M",68,762,"Voted","Voted","Abstained",14500,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"DETROIT","",,"","","M",36,1216,"Abstained","Abstained","Abstained",25793,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","01-01",,"W","R","F",29,2,"Voted","Voted","Voted",390,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","6A",,"","I","",89,412,"Abstained","Abstained","Abstained",17281,2,"Listed","No",0,"No","No","No","Yes","No","No","Treatment","Abstained"
"Raleigh","01-01",,"W","D","F",31,1,"Abstained","Abstained","Abstained",124,3,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-07",,"W","D","F",39,22,"Abstained","Voted","Abstained",61081,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","7C",,"","","",89,702,"Abstained","Voted","Abstained",10899,1,"Listed","No",0,"No","No","No","No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P-10",,"","","",20,111,"Abstained","Abstained","Abstained",4748,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","M",67,1371,"Abstained","Voted","Abstained",19087,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"COLUMBUS","5A",,"","I","",89,110,"Abstained","Abstained","Abstained",12732,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",72,1222,"Voted","Voted","Abstained",25285,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"Raleigh","01-12",,"W","R","M",31,4,"Abstained","Voted","Abstained",8715,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-44",,"W","R","M",50,11,"Abstained","Voted","Abstained",44407,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"DETROIT","",,"","","F",25,730,"Voted","Abstained","Abstained",13130,2,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"COLUMBUS","6A",,"","I","",89,412,"Abstained","Abstained","Abstained",19790,1,"Listed","No",0,,,,,,"No","Control","Abstained"
"ST PAUL","ST PAUL  W-4 P- 7",,"","","",21,1117,"Abstained","Voted","Abstained",8192,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",64,761,"Voted","Voted","Voted",14378,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","M",60,1178,"Abstained","Abstained","Abstained",27896,2,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",60,1206,"Voted","Voted","Abstained",26751,4,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","F",26,740,"Abstained","Voted","Abstained",11070,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"DETROIT","",,"","","F",28,731,"Abstained","Voted","Abstained",13107,4,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"COLUMBUS","6A",,"","I","",89,412,"Abstained","Abstained","Abstained",7105,1,"Listed","No",0,"No","No","Yes","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",58,1171,"Voted","Voted","Abstained",27446,4,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"COLUMBUS","6B",,"","I","",89,402,"Abstained","Abstained","Voted",15637,1,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"Raleigh","01-43",,"W","R","F",38,10,"Voted","Voted","Abstained",42411,2,"Listed","No",0,,,"No",,,"No","Control",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",23,136,"Abstained","Abstained","Abstained",7093,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",44,1171,"Voted","Voted","Abstained",27612,3,"Listed","No",0,"No","No",,"No","Yes","No","Treatment","Abstained"
"Raleigh","07-01",,"W","I","M",48,15,"Abstained","Abstained","Abstained",53717,3,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","7A",,"","I","",89,707,"Abstained","Abstained","Abstained",19986,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"DETROIT","",,"","","F",25,722,"Abstained","Abstained","Abstained",12833,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"ST PAUL","ST PAUL  W-4 P-10",,"","","",37,1122,"Voted","Voted","Voted",5704,2,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"DETROIT","",,"","","F",78,747,"Abstained","Abstained","Abstained",13865,3,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"Raleigh","01-12",,"W","I","M",24,5,"Abstained","Abstained","Abstained",9346,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"COLUMBUS","6B",,"","I","",89,402,"Abstained","Abstained","Abstained",15631,2,"Listed","No",0,"No","No","No","No","No","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",22,124,"Abstained","Abstained","Abstained",1005,1,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P-10",,"","","",57,113,"Voted","Voted","Abstained",4700,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"COLUMBUS","3A",,"","I","",89,16,"Abstained","Abstained","Abstained",1656,2,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 2 P- 5",,"","","",54,28,"Abstained","Voted","Abstained",6391,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-43",,"W","D","F",60,10,"Abstained","Voted","Voted",42644,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"Raleigh","07-04",,"W","R","F",29,20,"Voted","Voted","Voted",55963,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"Raleigh","07-07",,"W","I","M",34,21,"Voted","Voted","Abstained",60892,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",29,104,"Abstained","Abstained","Abstained",3773,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","M",51,1220,"Abstained","Abstained","Abstained",23479,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",33,135,"Abstained","Abstained","Abstained",7404,3,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-07",,"W","R","M",44,21,"Voted","Voted","Voted",60884,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-07",,"W","D","F",40,21,"Abstained","Abstained","Abstained",61365,3,"Listed","No",0,,,"No",,,"No","Control",
"Bridgeport","Longfellow School",,"","D","F",25,47,"Abstained","Abstained",,31522,3,"Listed","No",0,"No","No","No",,,"No","Treatment","Abstained"
"Raleigh","07-07",,"W","D","M",58,21,"Voted","Voted","Voted",60179,3,"Listed","No",0,,,"No",,,"No","Control",
"Bridgeport","Beardsley School",,"","I","M",66,41,"Voted","Voted",,24729,1,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"Raleigh","01-12",,"W","I","M",24,5,"Voted","Abstained","Abstained",9170,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"Bridgeport","Luis Munoz Marin S",,"","D","M",41,2,"Abstained","Abstained",,3555,2,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"Raleigh","07-04",,"W","LIB","M",33,19,"Abstained","Abstained","Abstained",56893,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-44",,"W","D","F",61,11,"Voted","Voted","Voted",44308,2,"Listed","No",0,,,"No",,,"No","Control",
"Bridgeport","Beardsley School",,"","D","F",45,32,"Abstained","Abstained",,19637,1,"Listed","No",0,"No","Yes","No",,,"No","Treatment","Abstained"
"Bridgeport","Luis Munoz Marin S",,"","D","F",35,43,"Abstained","Abstained",,27030,1,"Listed","No",0,"No","Yes","No",,,"No","Treatment","Abstained"
"Raleigh","07-04",,"W","R","F",30,18,"Abstained","Voted","Abstained",56085,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-28",,"0","D","0",26,7,"Abstained","Abstained","Abstained",24543,4,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"DETROIT","",,"","","M",70,1227,"Abstained","Voted","Abstained",23503,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"DETROIT","",,"","","M",25,1206,"Abstained","Abstained","Abstained",26730,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"Raleigh","07-01",,"W","R","M",36,15,"Abstained","Abstained","Abstained",53777,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-37",,"W","D","M",52,9,"Abstained","Abstained","Abstained",35129,2,"Listed","No",0,,,"No",,,"No","Control",
"ST PAUL","ST PAUL  W-4 P- 9",,"","","",42,1111,"Voted","Voted","Voted",9152,2,"Listed","No",0,"No","No","No","No","No","No","Control","Voted"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",34,103,"Abstained","Abstained","Abstained",3924,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",34,123,"Abstained","Abstained","Abstained",3117,1,"Listed","No",0,"No","No","Yes","No","No","No","Treatment","Abstained"
"Raleigh","01-44",,"W","R","F",59,13,"Abstained","Voted","Voted",44729,2,"Listed","No",0,"Yes","No","No","No","No","No","Treatment",
"COLUMBUS","6A",,"","","",89,412,"Abstained","Voted","Abstained",5338,1,"Listed","No",0,,,,,,"No","Control","Abstained"
"Raleigh","01-44",,"W","R","F",40,11,"Abstained","Abstained","Abstained",44251,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","6B",,"","I","",89,403,"Abstained","Abstained","Abstained",603,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-07",,"W","R","F",57,22,"Abstained","Voted","Abstained",60112,3,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"DETROIT","",,"","","M",71,1210,"Abstained","Voted","Abstained",26258,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"COLUMBUS","3F",,"","I","",89,16,"Abstained","Abstained","Abstained",4868,1,"Listed","No",0,,,,,,"No","Control","Abstained"
"Raleigh","01-28",,"B","I","M",23,8,"Abstained","Voted","Abstained",24131,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","3F",,"","D","",89,17,"Voted","Voted","Abstained",23727,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-43",,"W","I","M",27,10,"Abstained","Abstained","Abstained",42232,3,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","01-28",,"W","R","M",36,8,"Abstained","Abstained","Abstained",24162,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"Raleigh","01-06",,"W","R","M",31,3,"Abstained","Voted","Abstained",5508,2,"Listed","No",0,"No","No","Yes","Yes","No","No","Treatment",
"Raleigh","01-43",,"W","R","M",26,10,"Abstained","Abstained","Abstained",42324,2,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","7A",,"","I","",89,707,"Abstained","Abstained","Abstained",21514,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","F",41,1220,"Abstained","Abstained","Abstained",25163,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"COLUMBUS","7A",,"","I","",89,707,"Abstained","Voted","Abstained",44,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment","Abstained"
"COLUMBUS","5A",,"","I","",89,109,"Abstained","Abstained","Abstained",13465,4,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-13",,"W","I","M",32,6,"Abstained","Voted","Voted",9978,2,"Listed","No",0,,,"No",,,"No","Control",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",80,134,"Voted","Voted","Voted",8237,1,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Voted"
"COLUMBUS","5A",,"","I","",89,109,"Abstained","Abstained","Abstained",13351,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-09",,"W","R","M",36,24,"Abstained","Voted","Abstained",63046,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment",
"Raleigh","01-43",,"B","D","M",40,10,"Abstained","Abstained","Abstained",43109,3,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-09",,"W","D","M",76,23,"Abstained","Voted","Voted",62855,3,"Listed","No",0,,,"No",,,"No","Control",
"COLUMBUS","6C",,"","I","",89,404,"Abstained","Voted","Abstained",8800,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","M",42,1171,"Abstained","Abstained","Abstained",27606,3,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"Bridgeport","Black Rock School",,"","I","M",57,12,"Abstained","Voted",,8446,1,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"DETROIT","",,"","","M",30,742,"Abstained","Voted","Abstained",11101,2,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Abstained"
"Raleigh","01-44",,"W","D","F",26,13,"Abstained","Voted","Abstained",44987,2,"Listed","No",0,,,"No",,,"No","Control",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",44,136,"Abstained","Abstained","Abstained",1870,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",51,124,"Abstained","Voted","Abstained",2679,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"DETROIT","",,"","","M",81,1222,"Abstained","Voted","Abstained",23300,2,"Listed","No",0,"No","No",,"No","Yes","No","Treatment","Voted"
"Raleigh","07-07",,"B","D","F",30,22,"Abstained","Abstained","Abstained",60933,2,"Listed","No",0,,,"No",,,"No","Control",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",39,136,"Abstained","Voted","Abstained",6732,1,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 2 P- 5",,"","","",59,29,"Voted","Voted","Voted",8429,1,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Abstained"
"Raleigh","01-01",,"W","I","F",31,2,"Voted","Voted","Voted",403,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 8",,"","","",62,101,"Abstained","Voted","Abstained",3354,3,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Abstained"
"Bridgeport","Luis Munoz Marin S",,"","D","M",75,43,"Abstained","Abstained",,27026,1,"Listed","No",0,"No","Yes","No",,,"No","Treatment","Abstained"
"Raleigh","07-04",,"W","I","M",30,20,"Abstained","Abstained","Abstained",55828,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",73,1220,"Abstained","Abstained","Abstained",22965,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"DETROIT","",,"","","M",22,1210,"Abstained","Abstained","Abstained",26241,1,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
"COLUMBUS","4E",,"","R","",89,412,"Abstained","Voted","Voted",17057,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","07-09",,"W","R","F",52,24,"Abstained","Voted","Abstained",63489,2,"Listed","No",0,,,"No",,,"No","Control",
"DETROIT","",,"","","F",52,769,"Voted","Voted","Abstained",13629,3,"Listed","No",0,"No","No",,"No","Yes","No","Control","Voted"
"Raleigh","01-28",,"B","I","M",32,7,"Abstained","Abstained","Abstained",24361,2,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-01",,"W","I","F",31,14,"Voted","Voted","Abstained",53570,3,"Listed","No",0,,,"No",,,"No","Control",
"Raleigh","07-01",,"W","R","F",70,14,"Abstained","Voted","Abstained",53408,2,"Listed","No",0,,,"No",,,"No","Control",
"ST PAUL","ST PAUL  W-4 P- 9",,"","","",30,1110,"Abstained","Voted","Abstained",7986,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Bridgeport","Harbor View Towers",,"","D","M",34,31,"Abstained","Abstained",,19454,1,"Listed","No",0,"No","Yes","No",,,"No","Treatment","Abstained"
"ST PAUL","ST PAUL  W-4 P-10",,"","","",26,1120,"Abstained","Abstained","Abstained",7217,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",56,136,"Abstained","Voted","Abstained",6728,1,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 5",,"","","",24,136,"Voted","Voted","Abstained",7046,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",32,124,"Abstained","Abstained","Abstained",2952,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",89,105,"Voted","Voted","Voted",2705,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-44",,"W","R","F",34,13,"Abstained","Voted","Abstained",44914,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"DETROIT","",,"","","F",77,721,"Voted","Voted","Abstained",12697,1,"Listed","No",0,"No","Yes",,"No","No","No","Treatment","Voted"
"Bridgeport","Colombus School",,"","I","F",21,20,"Abstained","Abstained",,13944,3,"Listed","No",0,"No","No","No",,,"No","Control","Abstained"
"DETROIT","",,"","","F",82,1211,"Abstained","Abstained","Abstained",26300,2,"Listed","Yes",0,"No","No",,"No","No","Yes","Treatment","Abstained"
"Raleigh","07-04",,"B","D","F",42,19,"Abstained","Voted","Voted",57006,2,"Listed","No",0,,,"No",,,"No","Control",
"MINNEAPOLIS","MINNEAPOLIS W- 6 P- 9",,"","","",41,124,"Abstained","Abstained","Abstained",733,2,"Listed","No",0,"No","No","No","No","Yes","No","Treatment","Abstained"
"Raleigh","07-07",,"O","R","F",58,21,"Voted","Voted","Voted",60284,2,"Listed","No",0,"No","Yes","No","No","No","No","Treatment",
"COLUMBUS","2B",,"","","",89,109,"Abstained","Abstained","Abstained",12735,2,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"COLUMBUS","6A",,"","I","",89,412,"Abstained","Voted","Abstained",5528,1,"Listed","No",0,"No","No","No","No","No","No","Control","Abstained"
"Raleigh","01-01",,"W","D","M",28,1,"Voted","Voted","Abstained",301,3,"Listed","No",0,,,"No",,,"No","Control",
"ST PAUL","ST PAUL  W-4 P- 9",,"","","",52,1110,"Abstained","Abstained","Abstained",8513,2,"Listed","Yes",0,"No","No","No","No","No","Yes","Treatment","Abstained"
"DETROIT","",,"","","M",26,1210,"Abstained","Abstained","Abstained",26284,2,"Listed","No",0,"No","No",,"No","Yes","No","Control","Abstained"
